City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
251,Abucay,PH,79.41,broken clouds,14.7667,120.4833,Lady Lourdes Farm Resort (EXCLUSIVE)
254,Mpulungu,ZM,81.97,broken clouds,-8.7623,31.1141,Chela moche guest house
261,Axim,GH,80.08,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
268,Wanlaweyn,SO,79.5,overcast clouds,2.6185,44.8938,GAASHAAN HOME
269,Sur,OM,76.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
272,Ambilobe,MG,78.96,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
275,Kavieng,PG,82.29,light rain,-2.5744,150.7967,Nusa Island Retreat
292,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
296,Sao Jose Da Coroa Grande,BR,83.48,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
302,Laredo,US,77.0,clear sky,27.5064,-99.5075,La Posada Hotel
303,Umm Lajj,SA,79.92,clear sky,25.0213,37.2685,Moon light Furnished Units
304,Mutoko,ZW,75.74,few clouds,-17.397,32.2268,Mutoko Hotel
306,Nabire,ID,75.65,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
310,Namatanai,PG,78.87,light rain,-3.6667,152.4333,Seagulls Inn Namatani
312,Soure,BR,86.14,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
315,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
321,Chirongui,YT,80.53,broken clouds,-12.9319,45.1483,La Villa Mahatsara
322,Arlit,NE,86.02,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
324,Kismayo,SO,80.02,broken clouds,-0.3582,42.5454,Agan-Hotel
325,Coxim,BR,89.82,overcast clouds,-18.5067,-54.76,Hotel Avenida
327,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
330,West Bay,KY,81.07,scattered clouds,19.3667,-81.4167,Calypso Cove
339,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
342,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
344,Ixtapa,MX,85.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
345,Mwense,ZM,81.32,overcast clouds,-10.3845,28.698,Mwense Council Guest House
352,Ambulu,ID,77.16,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
353,Dhidhdhoo,MV,81.07,overcast clouds,6.8833,73.1,Dhidhoo beach
355,Caravelas,BR,79.05,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
360,Mana,GF,83.35,overcast clouds,5.6592,-53.7767,LE SAMANA
365,Palauig,PH,80.96,broken clouds,15.435,119.9045,Alperi Botique Resort
366,Moron,AR,79.02,few clouds,-34.6534,-58.6198,Hotel Morón
367,Dzilam Gonzalez,MX,80.08,scattered clouds,21.2833,-88.9333,posadas
375,Kaliua,TZ,75.16,overcast clouds,-5.0606,31.7936,Millennium Complex
377,Cap Malheureux,MU,77.49,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
382,Pombas,CV,76.78,overcast clouds,17.1503,-25.0201,Paul Paradis
384,Luangwa,ZM,86.5,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
385,Kalmunai,LK,77.11,heavy intensity rain,7.4167,81.8167,VS Villa
395,Kelo,TD,80.89,overcast clouds,9.3086,15.8066,Plantation de Kelo
