City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,San Felipe,VE,10.3399,-68.7425,87.8,56,69,3.22,broken clouds
81,Dudinka,RU,69.4058,86.1778,22.57,97,100,6.8,light snow
82,Bluff,NZ,-46.6,168.3333,47.8,90,51,5.5,broken clouds
83,Atasu,KZ,48.6814,71.6433,31.66,18,4,4.85,clear sky
84,Hambantota,LK,6.1241,81.1185,77.83,84,100,14.97,overcast clouds
85,Omsukchan,RU,62.5333,155.8,19.22,97,100,3.53,light snow
86,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,18.41,scattered clouds
87,Tilichiki,RU,60.4667,166.1,18.1,95,92,6.2,light snow
88,Santa Maria,BR,-29.6842,-53.8069,76.96,55,27,7.0,scattered clouds
89,Severo-Kurilsk,RU,50.6789,156.125,35.55,64,83,22.77,broken clouds
90,Shimanovsk,RU,52.0,127.7,16.41,81,3,1.66,clear sky
91,Jamestown,US,42.097,-79.2353,58.08,40,1,10.36,clear sky
92,Khovu-Aksy,RU,51.1333,93.6,7.48,85,13,4.74,few clouds
93,Okakarara,NA,-20.5833,17.4333,83.91,16,100,12.37,overcast clouds
94,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.6,89,40,2.3,moderate rain
95,Sao Sebastiao,BR,-23.76,-45.4097,72.18,76,95,3.56,overcast clouds
96,Atar,MR,20.5169,-13.0499,89.65,23,0,9.22,clear sky
97,Kodiak,US,57.79,-152.4072,29.57,71,77,11.52,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,86,90,4.61,light snow
99,Sanary-Sur-Mer,FR,43.1178,5.8001,56.93,80,99,1.01,overcast clouds
100,Stepanov,CZ,49.684,17.2204,48.97,89,100,9.17,overcast clouds
101,Crystal Beach,CA,42.8699,-79.0583,58.91,61,10,5.99,clear sky
102,Honiara,SB,-9.4333,159.95,76.64,76,52,4.99,broken clouds
103,Broken Hill,AU,-31.95,141.4333,58.33,51,43,14.9,scattered clouds
104,Hitchin,GB,51.9531,-0.2652,48.54,77,80,3.0,broken clouds
105,Yar-Sale,RU,66.8333,70.8333,24.06,96,100,11.72,light snow
106,Bonavista,CA,48.6499,-53.1147,52.12,74,89,19.1,overcast clouds
107,Hermanus,ZA,-34.4187,19.2345,60.91,63,99,7.99,overcast clouds
108,Misratah,LY,32.3754,15.0925,75.72,60,100,14.27,overcast clouds
109,Avarua,CK,-21.2078,-159.775,75.25,64,40,10.36,scattered clouds
110,Cidreira,BR,-30.1811,-50.2056,66.79,61,4,9.8,clear sky
111,Makakilo City,US,21.3469,-158.0858,77.32,70,75,4.61,broken clouds
112,Bethel,US,41.3712,-73.414,56.25,43,1,1.01,clear sky
113,Lompoc,US,34.6391,-120.4579,72.09,62,1,4.61,clear sky
114,Saskylakh,RU,71.9167,114.0833,8.08,93,100,14.83,overcast clouds
115,Naze,JP,28.3667,129.4833,69.67,64,72,9.24,broken clouds
116,Lavrentiya,RU,65.5833,-171.0,7.18,95,67,7.16,broken clouds
117,East London,ZA,-33.0153,27.9116,63.54,94,90,8.05,light intensity drizzle
118,Seoul,KR,37.5683,126.9778,63.01,62,0,8.05,moderate rain
119,Chokurdakh,RU,70.6333,147.9167,-16.91,98,53,7.31,broken clouds
120,Lufkin,US,31.3382,-94.7291,68.05,57,1,6.91,clear sky
121,Palu,ID,-0.8917,119.8707,75.76,96,47,3.04,scattered clouds
122,Saldanha,ZA,-33.0117,17.9442,60.85,71,100,20.92,overcast clouds
123,Kayes,ML,14.0,-11.0,95.77,15,84,5.37,broken clouds
124,Constitucion,CL,-35.3333,-72.4167,64.65,59,15,16.89,few clouds
125,Teahupoo,PF,-17.8333,-149.2667,76.96,77,37,7.96,scattered clouds
126,Corinto,GR,37.9407,22.9573,67.84,73,98,2.08,overcast clouds
127,Saint-Augustin,CA,51.226,-58.6502,45.97,59,56,13.8,broken clouds
128,Tyup,KG,42.7276,78.3648,20.52,81,15,3.51,few clouds
129,Butaritari,KI,3.0707,172.7902,81.57,69,94,13.09,overcast clouds
130,Geraldton,AU,-28.7667,114.6,64.81,77,90,14.97,overcast clouds
131,Tooele,US,40.5308,-112.2983,55.94,71,1,11.5,clear sky
132,Nauen,DE,52.607,12.8737,49.24,100,39,14.63,scattered clouds
133,Faanui,PF,-16.4833,-151.75,79.56,72,7,6.69,clear sky
134,Hami,CN,42.8,93.45,26.74,40,0,2.98,clear sky
135,Mar Del Plata,AR,-38.0023,-57.5575,62.62,82,75,20.0,broken clouds
136,Ust-Shonosha,RU,61.1531,41.343,34.11,92,86,8.34,overcast clouds
137,Nikolskoye,RU,59.7035,30.7861,38.88,97,100,7.78,moderate rain
138,Bochnia,PL,49.9691,20.4303,50.38,65,91,8.77,overcast clouds
139,Sobolevo,RU,54.4299,31.8996,41.25,76,94,15.14,light rain
140,Muros,ES,42.7762,-9.0603,58.08,75,60,11.63,broken clouds
141,Ponazyrevo,RU,58.3578,46.3142,36.99,69,73,9.08,broken clouds
142,Touros,BR,-5.1989,-35.4608,86.9,61,34,13.89,scattered clouds
143,Birjand,IR,32.8663,59.2211,41.47,70,20,0.0,few clouds
144,Pouembout,NC,-21.1333,164.9,69.33,87,44,4.52,scattered clouds
145,Burley,US,42.5357,-113.7928,44.67,61,90,11.5,overcast clouds
146,Neuquen,AR,-38.9516,-68.0591,82.29,24,0,6.91,clear sky
147,Danilovka,RU,50.3557,44.1168,41.32,85,70,5.88,broken clouds
148,Kibaya,TZ,-5.3,36.5667,70.43,45,89,10.67,overcast clouds
149,Codrington,AU,-38.2667,141.9667,41.77,86,1,4.36,clear sky
150,Sulangan,PH,11.1373,123.7228,82.92,79,66,12.26,broken clouds
151,Rodrigues Alves,BR,-7.738,-72.6509,89.8,53,91,5.68,overcast clouds
152,Krasnoselkup,RU,65.7,82.4667,33.01,98,100,19.89,light snow
153,Moyale,KE,3.5167,39.0584,71.8,64,100,7.38,overcast clouds
154,Dunedin,NZ,-45.8742,170.5036,55.8,80,95,15.99,overcast clouds
155,Dingle,PH,10.9995,122.6711,77.74,92,90,7.92,overcast clouds
156,Vanavara,RU,60.34,102.2797,27.07,95,100,11.86,snow
157,Kawalu,ID,-7.3817,108.2082,71.65,96,100,2.46,overcast clouds
158,Solenzo,BF,12.1833,-4.0833,94.66,21,72,4.54,broken clouds
159,Zhongshu,CN,24.5167,103.7667,47.12,91,91,6.62,overcast clouds
160,San Patricio,US,28.017,-97.5169,77.09,47,3,6.2,clear sky
161,Dargaville,NZ,-35.9333,173.8833,57.43,96,15,0.92,few clouds
162,Bengkulu,ID,-3.8004,102.2655,77.83,85,100,7.92,moderate rain
163,Kangaatsiaq,GL,68.3065,-53.4641,21.31,84,100,6.8,overcast clouds
164,The Valley,AI,18.217,-63.0578,85.86,65,20,11.5,few clouds
165,Buala,SB,-8.145,159.5921,79.21,83,60,7.27,light rain
166,Akdepe,TM,42.0551,59.3788,28.4,19,0,2.01,clear sky
167,Asau,RO,46.4333,26.4,53.76,68,84,5.46,light rain
168,Mangan,IN,27.5167,88.5333,60.33,75,74,4.85,broken clouds
169,Umarkot,PK,25.3616,69.7362,78.1,24,1,5.82,clear sky
170,Nemuro,JP,43.3236,145.575,45.54,67,95,6.02,overcast clouds
171,Elizabeth City,US,36.2946,-76.2511,57.4,85,90,1.01,moderate rain
172,Bilibino,RU,68.0546,166.4372,-1.37,99,95,4.65,overcast clouds
173,Flinders,AU,-34.5833,150.8552,65.17,91,100,1.01,light rain
174,Genhe,CN,50.7833,121.5167,14.22,66,45,0.25,scattered clouds
175,Kouroussa,GN,10.65,-9.8833,85.57,51,20,2.55,few clouds
